name,level,class,school,range
Acid Arrow,2,Wizard,Evocation,90 feet
Acid Splash,0,"Sorcerer,Wizard",Conjuration,60 feet
Aid,2,"Cleric,Paladin",Abjuration,30 feet
Alarm,1,"Ranger,Wizard",Abjuration,30 feet
Alter Self,2,"Sorcerer,Wizard",Transmutation,Self
Animal Friendship,1,"Bard,Druid,Ranger",Enchantment,30 feet
Animal Messenger,2,"Bard,Druid,Ranger",Enchantment,30 feet
Animal Shapes,8,Druid,Transmutation,30 feet
Animate Dead,3,"Cleric,Wizard",Necromancy,10 feet
Animate Objects,5,"Bard,Sorcerer,Wizard",Transmutation,120 feet
Antilife Shell,5,Druid,Abjuration,Self
Antimagic Field,8,"Cleric,Wizard",Abjuration,Self
Antipathy/Sympathy,8,"Druid,Wizard",Enchantment,60 feet
Arcane Eye,4,"Cleric,Wizard",Divination,30 feet
Arcane Hand,5,Wizard,Evocation,120 feet
Arcane Lock,2,Wizard,Abjuration,Touch
Arcane Sword,7,"Bard,Wizard",Evocation,60 feet
Arcanist's Magic Aura,2,Wizard,Illusion,Touch
Astral Projection,9,"cleric,warlock,wizard",Necromancy,10 feet
Augury,2,Cleric,Divination,Self
Awaken,5,"Bard,Druid",Transmutation,Touch
Bane,1,"Bard,Cleric",Enchantment,30 feet
Banishment,4,"Cleric,Paladin,Sorcerer,Warlock,Wizard",Abjuration,60 feet
Barkskin,2,"Druid,Ranger",Transmutation,Touch
Beacon of Hope,3,Cleric,Abjuration,30 feet
Bestow Curse,3,"Bard,Cleric,Wizard",Necromancy,Touch
Black Tentacles,4,Wizard,Conjuration,90 feet
Blade Barrier,6,Cleric,Evocation,90 feet
Bless,1,"Cleric,Paladin",Enchantment,30 feet
Blight,4,"Druid,Sorcerer,Warlock,Wizard",Necromancy,30 feet
Blindness/Deafness,2,"Bard,Cleric,Sorcerer,Wizard",Necromancy,30 feet
Blink,3,"Sorcerer,Wizard",Transmutation,Self
Blur,2,"Sorcerer,Wizard",Illusion,Self
Branding Smite,2,Paladin,Evocation,Self
Burning Hands,1,"Sorcerer,Wizard",Evocation,Self
Call Lightning,3,Druid,Conjuration,120 feet
Calm Emotions,2,"Bard,Cleric",Enchantment,60 feet
Chain Lightning,6,"Sorcerer,Wizard",Evocation,150 feet
Charm Person,1,"Bard,Druid,Sorcerer,Warlock,Wizard",Enchantment,30 feet
Chill Touch,0,"Sorcerer,Warlock,Wizard",Necromancy,120 feet
Circle of Death,6,"Sorcerer,Warlock,Wizard",Necromancy,150 feet
Clairvoyance,3,"Bard,Cleric,Sorcerer,Wizard",Divination,1 mile
Clone,8,Wizard,Necromancy,Touch
Cloudkill,5,"Sorcerer,Wizard",Conjuration,120 feet
Color Spray,1,"Sorcerer,Wizard",Illusion,Self
Command,1,"Cleric,Paladin",Enchantment,60 feet
Commune,5,Cleric,Divination,Self
Commune With Nature,5,"Druid,Ranger",Divination,Self
Comprehend Languages,1,"Bard,Sorcerer,Warlock,Wizard",Divination,Self
Compulsion,4,Bard,Enchantment,30 feet
Cone of Cold,5,"Sorcerer,Wizard",Evocation,Self
Confusion,4,"Bard,Druid,Sorcerer,Wizard",Enchantment,90 feet
Conjure Animals,3,"Druid,Ranger",Conjuration,60 feet
Conjure Celestial,7,Cleric,Conjuration,90 feet
Conjure Elemental,5,"Druid,Wizard",Conjuration,90 feet
Conjure Fey,6,"Druid,Warlock",Conjuration,90 feet
Conjure Minor Elementals,4,"Druid,Wizard",Conjuration,90 feet
Conjure Woodland Beings,4,"Druid,Ranger",Conjuration,60 feet
Contact Other Plane,5,"Warlock,Wizard",Divination,Self
Contagion,5,"Cleric,Druid",Necromancy,Touch
Contingency,6,Wizard,Evocation,Self
Continual Flame,2,"Cleric,Wizard",Evocation,Touch
Control Water,4,"Cleric,Druid,Wizard",Transmutation,300 feet
Control Weather,8,"Cleric,Druid,Wizard",Transmutation,Self
Counterspell,3,"Sorcerer,Warlock,Wizard",Abjuration,60 feet
Create Food and Water,3,"Cleric,Druid,Paladin",Conjuration,30 feet
Create Undead,6,"Cleric,Warlock,Wizard",Necromancy,10 feet
Create or Destroy Water,1,"Cleric,Druid",Transmutation,30 feet
Creation,5,"Sorcerer,Wizard",Illusion,30 feet
Cure Wounds,1,"Bard,Cleric,Druid,Paladin,Ranger",Evocation,Touch
Dancing Lights,0,"Bard,Sorcerer,Wizard",Evocation,120 feet
Darkness,2,"Sorcerer,Warlock,Wizard",Evocation,60 feet
Darkvision,2,"Druid,Ranger,Sorcerer,Wizard",Transmutation,Touch
Daylight,3,"Cleric,Druid,Paladin,Ranger,Sorcerer",Evocation,60 feet
Death Ward,4,"Cleric,Paladin",Abjuration,Touch
Delayed Blast Fireball,7,"Sorcerer,Wizard",Evocation,150 feet
Demiplane,8,"Warlock,Wizard",Conjuration,60 feet
Detect Evil and Good,1,"Cleric,Paladin",Divination,Self
Detect Magic,1,"Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Wizard",Divination,Self
Detect Poison and Disease,1,"Cleric,Druid,Paladin,Ranger",Divination,Self
Detect Thoughts,2,"Bard,Sorcerer,Wizard",Divination,Self
Dimension Door,4,"Bard,Sorcerer,Warlock,Wizard",Conjuration,500 feet
Disguise Self,1,"Bard,Sorcerer,Wizard",Illusion,Self
Disintegrate,6,"Sorcerer,Wizard",Transmutation,60 feet
Dispel Evil and Good,5,"Cleric,Paladin",Abjuration,Self
Dispel Magic,3,"Bard,Cleric,Druid,Paladin,Sorcerer,Warlock,Wizard",Abjuration,120 feet
Divination,4,Druid,Divination,Self
Divine Favor,1,Paladin,Evocation,Self
Divine Word,7,Cleric,Evocation,30 feet
Dominate Beast,4,"Druid,Sorcerer",Enchantment,60 feet
Dominate Monster,8,"Bard,Sorcerer,Warlock,Wizard",Enchantment,60 feet
Dominate Person,5,"Bard,Sorcerer,Wizard",Enchantment,60 feet
Dream,5,"Bard,Warlock,Wizard",Illusion,Special
Druidcraft,0,Druid,Transmutation,30 feet
Earthquake,8,"Cleric,Druid,Sorcerer",Evocation,500 feet
Eldritch Blast,0,Warlock,Evocation,120 feet
Enhance Ability,2,"bard,cleric,druid,sorcerer",Transmutation,Touch
Enlarge/Reduce,2,"Sorcerer,Wizard",Transmutation,30 feet
Entangle,1,Druid,Conjuration,90 feet
Enthrall,2,"Bard,Warlock",Enchantment,60 feet
Etherealness,7,"Bard,Cleric,Sorcerer,Warlock,Wizard",Transmutation,Self
Expeditious Retreat,1,"Sorcerer,Warlock,Wizard",Transmutation,Self
Eyebite,6,"Bard,Sorcerer,Warlock,Wizard",Necromancy,Self
Fabricate,4,Wizard,Transmutation,120 feet
Faerie Fire,1,Druid,Evocation,60 feet
Faithful Hound,4,Wizard,Conjuration,30 feet
False Life,1,"Sorcerer,Wizard",Necromancy,Self
Fear,3,"Bard,Sorcerer,Warlock,Wizard",Illusion,Self
Feather Fall,1,"Bard,Sorcerer,Wizard",Transmutation,60 feet
Feeblemind,8,"Bard,Druid,Warlock,Wizard",Enchantment,150 feet
Find Familiar,1,Wizard,Conjuration,10 feet
Find Steed,2,Paladin,Conjuration,30 feet
Find Traps,2,"Cleric,Druid,Ranger",Divination,120 feet
Find the Path,6,"Bard,Cleric,Druid",Divination,Self
Finger of Death,7,"Sorcerer,Warlock,Wizard",Necromancy,60 feet
Fire Bolt,0,"Sorcerer,Wizard",Evocation,120 feet
Fire Shield,4,Wizard,Evocation,Self
Fire Storm,7,"Cleric,Druid,Sorcerer",Evocation,150 feet
Fireball,3,"Sorcerer,Wizard",Evocation,150 feet
Flame Blade,2,Druid,Evocation,Self
Flame Strike,5,Cleric,Evocation,60 feet
Flaming Sphere,2,"Druid,Wizard",Conjuration,60 feet
Flesh to Stone,6,"Warlock,Wizard",Transmutation,60 feet
Floating Disk,1,Wizard,Conjuration,30 feet
Fly,3,"Sorcerer,Warlock,Wizard",Transmutation,Touch
Fog Cloud,1,"Druid,Ranger,Sorcerer,Wizard",Conjuration,120 feet
Forbiddance,6,Cleric,Abjuration,Touch
Forcecage,7,"Bard,Warlock,Wizard",Evocation,100 feet
Foresight,9,"Bard,Druid,Warlock,Wizard",Divination,Touch
Freedom of Movement,4,"Bard,Cleric,Druid,Ranger",Abjuration,Touch
Freezing Sphere,6,Wizard,Evocation,300 feet
Gaseous Form,3,"Sorcerer,Warlock,Wizard",Transmutation,Touch
Gate,9,"Cleric,Sorcerer,Wizard",Conjuration,60 feet
Geas,5,"Bard,Cleric,Druid,Paladin,Wizard",Enchantment,60 feet
Gentle Repose,2,"Cleric,Wizard",Necromancy,Touch
Giant Insect,4,Druid,Transmutation,30 feet
Glibness,8,"Bard,Warlock",Transmutation,Self
Globe of Invulnerability,6,"Sorcerer,Wizard",Abjuration,Self
Glyph of Warding,3,"Bard,Cleric,Wizard",Abjuration,Touch
Goodberry,1,"Druid,Ranger",Transmutation,Touch
Grease,1,Wizard,Conjuration,60 feet
Greater Invisibility,4,"Bard,Sorcerer,Wizard",Illusion,Touch
Greater Restoration,5,"Bard,Cleric,Druid",Abjuration,Touch
Guardian of Faith,4,Cleric,Conjuration,30 feet
Guards and Wards,6,"Bard,Wizard",Abjuration,Touch
Guidance,0,"Cleric,Druid",Divination,Touch
Guiding Bolt,1,Cleric,Evocation,120 feet
Gust of Wind,2,"Druid,Sorcerer,Wizard",Evocation,Self
Hallow,5,Cleric,Evocation,Touch
Hallucinatory Terrain,4,"Bard,Druid,Warlock,Wizard",Illusion,300 feet
Harm,6,Cleric,Necromancy,60 feet
Haste,3,"Sorcerer,Wizard",Transmutation,30 feet
Heal,6,"Cleric,Druid",Evocation,60 feet
Healing Word,1,"Bard,Cleric,Druid",Evocation,60 feet
Heat Metal,2,"Bard,Druid",Transmutation,60 feet
Hellish Rebuke,1,Warlock,Evocation,60 feet
Heroes' Feast,6,"Cleric,Druid",Conjuration,30 feet
Heroism,1,"Bard,Paladin",Enchantment,Touch
Hideous Laughter,1,"Bard,Wizard",Enchantment,30 feet
Hold Monster,5,"Bard,Sorcerer,Warlock,Wizard",Enchantment,90 feet
Hold Person,2,"Bard,Cleric,Druid,Sorcerer,Warlock,Wizard",Enchantment,60 feet
Holy Aura,8,Cleric,Abjuration,Self
Hunter's Mark,1,Ranger,Divination,90 feet
Hypnotic Pattern,3,"Bard,Sorcerer,Warlock,Wizard",Illusion,120 feet
Ice Storm,4,"Druid,Sorcerer,Wizard",Evocation,300 feet
Identify,1,"Bard,Wizard",Divination,Touch
Illusory Script,1,"Bard,Warlock,Wizard",Illusion,Touch
Imprisonment,9,"Warlock,Wizard",Abjuration,30 feet
Incendiary Cloud,8,"Sorcerer,Wizard",Conjuration,150 feet
Inflict Wounds,1,Cleric,Necromancy,Touch
Insect Plague,5,"Cleric,Druid,Sorcerer",Conjuration,300 feet
Instant Summons,6,Wizard,Conjuration,Touch
Invisibility,2,"Bard,Sorcerer,Warlock,Wizard",Illusion,Touch
Irresistible Dance,6,"Bard,Wizard",Enchantment,30 feet
Jump,1,"Druid,Ranger,Sorcerer,Wizard",Transmutation,Touch
Knock,2,"Bard,Sorcerer,Wizard",Transmutation,60 feet
Legend Lore,5,"Bard,Cleric,Wizard",Divination,Self
Lesser Restoration,2,"Bard,Cleric,Druid,Paladin,Ranger",Abjuration,Touch
Levitate,2,"Sorcerer,Wizard",Transmutation,60 feet
Light,0,"Bard,Cleric,Sorcerer,Wizard",Evocation,Touch
Lightning Bolt,3,"Sorcerer,Wizard",Evocation,Self
Locate Animals or Plants,2,"Bard,Druid,Ranger",Divination,Self
Locate Creature,4,"Bard,Cleric,Druid,Paladin,Ranger,Wizard",Divination,Self
Locate Object,2,"Bard,Cleric,Druid,Paladin,Ranger,Wizard",Divination,Self
Longstrider,1,"Bard,Druid,Ranger,Wizard",Transmutation,Touch
Mage Armor,1,"Sorcerer,Wizard",Abjuration,Touch
Mage Hand,0,"Bard,Sorcerer,Warlock,Wizard",Conjuration,30 feet
Magic Circle,3,"Cleric,Paladin,Warlock,Wizard",Abjuration,10 feet
Magic Jar,6,Wizard,Necromancy,Self
Magic Missile,1,"Sorcerer,Wizard",Evocation,120 feet
Magic Mouth,2,"Bard,Wizard",Illusion,30 feet
Magic Weapon,2,"Paladin,Wizard",Transmutation,Touch
Magnificent Mansion,7,"Bard,Wizard",Conjuration,300 feet
Major Image,3,"Bard,Sorcerer,Warlock,Wizard",Illusion,120 feet
Mass Cure Wounds,5,"Bard,Cleric,Druid",Conjuration,60 feet
Mass Heal,9,Cleric,Conjuration,60 feet
Mass Healing Word,3,Cleric,Evocation,60 feet
Mass Suggestion,6,"Bard,Sorcerer,Warlock,Wizard",Enchantment,60 feet
Maze,8,Wizard,Conjuration,60 feet
Meld Into Stone,3,Cleric,Transmutation,Touch
Mending,0,"Cleric,Bard,Druid,Sorcerer,Wizard",Transmutation,Touch
Message,0,"Bard,Sorcerer,Wizard",Transmutation,120 feet
Meteor Swarm,9,"Sorcerer,Wizard",Evocation,1 mile
Mind Blank,8,"Bard,Wizard",Abjuration,Touch
Minor Illusion,0,"Bard,Sorcerer,Warlock,Wizard",Illusion,30 feet
Mirage Arcane,7,"Bard,Druid,Wizard",Illusion,Sight
Mirror Image,2,"Sorcerer,Warlock,Wizard",Illusion,Self
Mislead,5,"Bard,Wizard",Illusion,Self
Misty Step,2,"Sorcerer,Warlock,Wizard",Conjuration,Self
Modify Memory,5,"Bard,Wizard",Enchantment,30 feet
Moonbeam,2,Druid,Evocation,120 feet
Move Earth,6,"Druid,Sorcerer,Wizard",Transmutation,120 feet
Nondetection,3,"Bard,Ranger,Wizard",Abjuration,Touch
Pass Without Trace,2,"Druid,Ranger",Abjuration,Self
Passwall,5,Wizard,Transmutation,30 feet
Phantasmal Killer,4,Wizard,Illusion,120 feet
Phantom Steed,3,Wizard,Illusion,30 feet
Planar Ally,6,Cleric,Conjuration,60 feet
Planar Binding,5,"Bard,Cleric,Druid,Wizard",Abjuration,60 feet
Plane Shift,7,"Cleric,Druid,Sorcerer,Warlock,Wizard",Conjuration,Touch
Plant Growth,3,"Bard,Druid,Ranger",Transmutation,150 feet
Poison Spray,0,"Sorcerer,Warlock,Wizard,Druid",Conjuration,10 feet
Polymorph,4,"Bard,Druid,Sorcerer,Wizard",Transmutation,60 feet
Power Word Kill,9,"Bard,Sorcerer,Warlock,Wizard",Enchantment,60 feet
Power Word Stun,8,"Bard,Sorcerer,Warlock,Wizard",Enchantment,60 feet
Prayer of Healing,2,Cleric,Evocation,30 feet
Prestidigitation,0,"Bard,Sorcerer,Warlock,Wizard",Transmutation,10 feet
Prismatic Spray,7,"Sorcerer,Wizard",Evocation,Self
Prismatic Wall,9,Wizard,Abjuration,60 feet
Private Sanctum,4,Wizard,Abjuration,120 feet
Produce Flame,0,Druid,Conjuration,Self
Programmed Illusion,6,"Bard,Wizard",Illusion,120 feet
Project Image,7,"Bard,Wizard",Illusion,500 miles
Protection From Energy,3,"Cleric,Druid,Ranger,Sorcerer,Wizard",Abjuration,Touch
Protection from Evil and Good,1,"Cleric,Paladin,Warlock,Wizard",Abjuration,Touch
Protection from Poison,2,"Cleric,Druid,Paladin,Ranger",Abjuration,Touch
Purify Food and Drink,1,"Cleric,Druid,Paladin",Transmutation,10 feet
Raise Dead,5,"Bard,Cleric,Paladin",Necromancy,Touch
Ray of Enfeeblement,2,"Warlock,Wizard",Necromancy,60 feet
Ray of Frost,0,"Sorcerer,Wizard",Evocation,60 feet
Regenerate,7,"Bard,Cleric,Druid",Transmutation,Touch
Reincarnate,5,Druid,Transmutation,Touch
Remove Curse,3,"Cleric,Paladin,Warlock,Wizard",Abjuration,Touch
Resilient Sphere,4,Wizard,Evocation,30 feet
Resistance,0,"Cleric,Druid",Abjuration,Touch
Resurrection,7,"Bard,Cleric",Necromancy,Touch
Reverse Gravity,7,"Druid,Sorcerer,Wizard",Transmutation,100 feet
Revivify,3,"Cleric,Paladin",Conjuration,Touch
Rope Trick,2,Wizard,Transmutation,Touch
Sacred Flame,0,Cleric,Evocation,60 feet
Sanctuary,1,Cleric,Abjuration,30 feet
Scorching Ray,2,"Sorcerer,Wizard",Evocation,120 feet
Scrying,5,"Bard,Cleric,Druid,Warlock,Wizard",Divination,Self
Secret Chest,4,Wizard,Conjuration,Touch
See Invisibility,2,"Bard,Sorcerer,Wizard",Divination,Self
Seeming,5,"Bard,Sorcerer,Wizard",Illusion,30 feet
Sending,3,"Bard,Cleric,Wizard",Evocation,Unlimited
Sequester,7,Wizard,Transmutation,Touch
Shapechange,9,"Druid,Wizard",Transmutation,Self
Shatter,2,"Bard,Sorcerer,Warlock,Wizard",Evocation,60 feet
Shield,1,"Sorcerer,Wizard",Abjuration,Self
Shield of Faith,1,"Cleric,Paladin",Abjuration,60 feet
Shillelagh,0,Druid,Transmutation,Touch
Shocking Grasp,0,"Sorcerer,Wizard",Evocation,Touch
Silence,2,"Bard,Cleric,Ranger",Illusion,120 feet
Silent Image,1,"Bard,Sorcerer,Wizard",Illusion,60 feet
Simulacrum,7,Wizard,Illusion,Touch
Sleep,1,"bard,sorcerer,wizard",Enchantment,90 feet
Sleet Storm,3,"Druid,Sorcerer,Wizard",Conjuration,150 feet
Slow,3,"Sorcerer,Wizard",Transmutation,120 feet
Spare the Dying,0,Cleric,Necromancy,Touch
Speak with Animals,1,"Bard,Druid,Ranger",Divination,Self
Speak with Dead,3,"Bard,Cleric",Necromancy,10 feet
Speak with Plants,3,"Bard,Druid,Ranger",Transmutation,Self
Spider Climb,2,"Sorcerer,Warlock,Wizard",Transmutation,Touch
Spike Growth,2,"Druid,Ranger",Transmutation,150 feet
Spirit Guardians,3,Cleric,Conjuration,Self
Spiritual Weapon,2,Cleric,Evocation,60 feet
Stinking Cloud,3,"Bard,Sorcerer,Wizard",Conjuration,90 feet
Stone Shape,4,"Cleric,Druid,Wizard",Transmutation,Touch
Stoneskin,4,"Druid,Ranger,Sorcerer,Wizard",Abjuration,Touch
Storm of Vengeance,9,Druid,Conjuration,Sight
Suggestion,2,"Bard,Sorcerer,Warlock,Wizard",Enchantment,30 feet
Sunbeam,6,"Druid,Sorcerer,Wizard",Evocation,Self
Sunburst,8,"Druid,Sorcerer,Wizard",Evocation,150 feet
Symbol,7,"Bard,Cleric,Wizard",Abjuration,Touch
Telekinesis,5,"Sorcerer,Wizard",Transmutation,60 feet
Telepathic Bond,5,Wizard,Divination,30 feet
Teleport,7,"Bard,Sorcerer,Wizard",Conjuration,10 feet
Teleportation Circle,5,"Bard,Sorcerer,Wizard",Conjuration,10 feet
Thaumaturgy,0,Cleric,Transmutation,30 feet
Thunderwave,1,"Bard,Druid,Sorcerer,Wizard",Evocation,Self
Time Stop,9,"Sorcerer,Wizard",Transmutation,Self
Tiny Hut,3,"Bard,Wizard",Evocation,Self
Tongues,3,"Bard,Cleric,Sorcerer,Warlock,Wizard",Divination,Touch
Transport via Plants,6,Druid,Conjuration,10 feet
Tree Stride,5,"Druid,Ranger",Conjuration,Self
True Polymorph,9,"Bard,Warlock,Wizard",Transmutation,30 feet
True Resurrection,9,"Cleric,Druid",Necromancy,Touch
True Seeing,6,"Bard,Cleric,Sorcerer,Warlock,Wizard",Divination,Touch
True Strike,0,"Bard,Sorcerer,Warlock,Wizard",Divination,30 feet
Unseen Servant,1,"Bard,Warlock,Wizard",Conjuration,60 feet
Vampiric Touch,3,"Warlock,Wizard",Necromancy,Self
Vicious Mockery,0,Bard,Enchantment,60 feet
Wall of Fire,4,"Druid,Sorcerer,Wizard",Evocation,120 feet
Wall of Force,5,Wizard,Evocation,120 feet
Wall of Ice,6,Wizard,Evocation,120 feet
Wall of Stone,5,"Druid,Sorcerer,Wizard",Evocation,120 feet
Wall of Thorns,6,Druid,Conjuration,120 feet
Warding Bond,2,Cleric,Abjuration,Touch
Water Breathing,3,"Druid,Ranger,Sorcerer,Wizard",Transmutation,30 feet
Water Walk,3,"Cleric,Druid,Ranger,Sorcerer",Transmutation,30 feet
Web,2,"Sorcerer,Wizard",Conjuration,60 feet
Weird,9,Wizard,Illusion,120 feet
Wind Walk,6,Druid,Transmutation,30 feet
Wind Wall,3,"Druid,Ranger",Evocation,120 feet
Wish,9,"Sorcerer,Wizard",Conjuration,Self
Word of Recall,6,Cleric,Conjuration,5 feet
Zone of Truth,2,"Bard,Cleric,Paladin",Enchantment,60 feet
